,adim,bdim,index
0,31.1153060769,-15.6349705866,120343
1,20.3319195614,-13.1799833994,158751
2,18.7348044271,14.2637009784,75407
3,29.6862575787,16.7352787578,132303
4,10.7735291638,6.30667181756,125953
5,7.75350641112,-26.3516747428,29601
6,-7.70283120466,5.5446736142,91610
7,-10.240034281,6.70118990004,159457
8,31.0605563651,-5.94448673433,165718
9,10.50771228,-35.3149736238,134007
10,10.6143947606,32.6205658509,100553
11,15.7392909202,-21.5208607134,194229
12,19.938998986,-21.5665194851,186909
13,1.13955536438,6.77740469566,79010
14,-11.6775701371,43.9754437224,42896
15,-18.0502162966,-5.59289553936,28682
16,-3.85333170752,6.40781378085,153101
17,32.2907758361,-9.48797292789,24655
18,-10.8574356941,7.03462187118,81348
19,-8.81172547874,35.6972398168,83856
20,-18.785456831,7.47267004694,27267
21,31.7015899854,11.9344729449,29905
22,6.33557357799,36.4282860283,3446
23,11.5292388698,-25.4797923208,196110
24,-26.7949819358,25.7730926072,179115
25,-5.98054597725,13.5921288734,161221
26,-9.44627952571,-28.7218877576,143799
27,-1.52554109192,34.484722253,54913
28,32.8538695286,-6.64490723517,105484
29,7.21477790221,34.7206026583,73240
30,3.15704080897,7.18538789571,26556
31,27.3591515847,4.56560833503,155233
32,8.2530810328,20.4746978431,161555
33,1.52855134423,22.721385598,128732
34,-16.214573161,-15.9982258071,153562
35,7.25173721874,-31.3872919853,118377
36,-5.71873727995,-3.2146313549,12352
37,-3.31863884496,44.3366651877,184511
38,15.8729592979,23.1779603147,90267
39,-17.703739819,-18.9639514684,33211
40,-0.994785702869,15.7011521859,26238
41,0.652262717873,3.73839436924,21332
42,-4.90692947839,-3.9541159991,97989
43,1.57795327206,22.3698164917,119080
44,-2.31853202718,-1.10059563765,196014
45,-23.43935344,-10.5339848093,8783
46,17.6849812078,-30.5410145251,152710
47,-20.5663468264,10.3496835332,25071
48,28.7886140164,-19.5956422181,63130
49,8.69089634493,-42.4948962463,8795
50,31.8112773892,-7.45381051294,148456
51,-1.68839653567,28.0729874575,133202
52,11.9510170825,-6.40961272176,68123
53,-5.63091688412,10.2231207893,174307
54,22.8432199953,-19.5010277519,74324
55,-14.6706967422,-21.4233709972,198242
56,5.91996796358,-19.635633965,168824
57,1.11117515478,10.3440847527,198936
58,17.9725839901,21.2682618249,97909
59,24.033478306,3.52404907579,155132
60,-9.90752640009,28.557811394,23888
61,-24.7012103336,19.9370698063,149345
62,-8.85302096139,-20.5282190204,77474
63,15.4894449757,18.8077470262,179177
64,-28.9318599621,3.15160873294,99689
65,2.84734633719,-37.40585407,131847
66,0.636312187668,19.0397503244,154718
67,-4.63801625491,8.2345059356,171562
68,16.6888261292,6.2486917258,123668
69,2.16791466314,-16.1545502101,108678
70,17.911756396,-0.80668738908,80009
71,12.5041338688,-5.34727001481,98625
72,-17.1151047566,33.8879842731,166279
73,-22.4882141591,8.97716486287,148444
74,19.968960388,-10.3684638893,67461
75,-9.74029756417,25.8646024039,183206
76,18.0162445388,24.0022015247,127287
77,8.7120784442,-12.291232039,114205
78,-3.43387048367,19.1666313808,119043
79,6.38699114268,-32.2281584071,86219
80,0.403933887014,33.4690479024,92519
81,14.5870674124,-6.38747365486,172443
82,13.4861984473,-13.9684574476,98363
83,-8.77159289228,21.3610345413,199242
84,11.8956111817,17.1865146007,112269
85,-11.2172461108,-28.2786448651,70573
86,-20.3717041125,39.2788469451,192002
87,14.1633441886,-6.78165405103,7602
88,-12.7147056302,11.3826885768,166139
89,-0.316127223654,14.1677526304,21797
90,-22.2593137513,7.37119856694,155501
91,-24.7589031073,-0.995150064984,35349
92,7.0164378008,-24.9196479776,106103
93,-15.4456710177,21.9317362412,33356
94,2.09053831582,5.3889422427,39007
95,-8.64853694882,41.4977133576,79002
96,13.9021249316,13.7757596592,4595
97,-0.929089343709,8.59017190477,159818
98,4.50713219805,-2.39803390302,54992
99,-11.4317753982,-3.94933484423,26346
100,30.6748106731,-17.6925228006,13763
101,13.0181499111,-13.5860193995,139336
102,-8.88255702671,-5.47130878829,102705
103,12.4564566202,17.4445441267,94108
104,7.72126877241,0.450465036674,25836
105,25.9608681761,14.7317382419,127080
106,-8.79659859667,-1.15561720705,4942
107,-14.1556239672,1.86961389637,187436
108,-3.18751207454,1.18957359653,183236
109,-13.3070984343,37.4379393839,10325
110,-7.86535240377,45.0559860566,137076
111,9.74420532539,-33.1443658221,100503
112,6.62204573835,11.4734065091,1198
113,4.46038376596,26.7176985667,117805
114,17.7553251024,-14.8768394665,72944
115,-5.60817093897,17.9734801057,30934
116,-32.8836318637,13.839115942,88424
117,-28.1192645851,23.7961340043,83080
118,-30.3181885492,-2.76823726938,69104
119,-0.867705604287,-37.8829848637,37888
120,17.466191557,21.9449594832,39190
121,2.97748748456,39.6806730526,170281
122,-16.4026037458,-27.54325664,21595
123,-19.7951441769,-9.05665821869,114506
124,11.0114619018,19.3393165122,15395
125,9.14487827014,-31.3117711815,174873
126,4.40090035944,26.3175786244,143020
127,-9.53346201904,-25.0216242138,162157
128,-11.2284502581,18.5500898354,2576
129,-25.1907246621,-8.32048437112,65350
130,-26.0992926117,5.03360235261,195517
131,2.79439947316,0.841733858625,131086
132,-14.9750960991,-23.2281157651,116547
133,-32.6086911749,4.05377520582,142567
134,-16.6926485281,23.0703788369,42394
135,1.10769125304,-30.2015446979,1355
136,14.0717219385,-21.7021927554,165277
137,1.90788381663,14.0781780574,110967
138,-4.83441035861,19.7454822806,180842
139,3.01766502914,-37.7249486288,109707
140,32.3714171975,-5.08752837584,43811
141,14.8679051095,-17.2953483698,197595
142,-17.6332283933,-6.56905106767,171741
143,-11.8333922814,4.84650722151,172645
144,0.354011284809,-10.9330804093,128889
145,7.86581852931,2.24061316297,10803
146,27.609113502,20.2260209498,176197
147,-10.5545795098,-15.9971252339,51250
148,6.27831807412,0.852926548253,55425
149,-5.96781540495,-27.6011423483,160805
150,-12.7923239002,40.3034828729,68666
151,-2.7402910408,-10.739251632,179831
152,31.957698115,-9.13103002047,122707
153,-9.60554541212,-13.4205888213,98515
154,-10.6638875306,-23.7673675251,188954
155,-13.1208824691,-1.6057454533,83744
156,-14.731206333,7.36389355727,112989
157,23.7258983498,12.9115724546,21511
158,-10.5487600313,-8.93207225469,174534
159,-4.3770916428,5.4348659485,105000
160,-10.5949630962,-26.9684189025,179962
161,27.3902467545,10.1197424049,95604
162,-17.3381280516,33.3793470046,165644
163,-8.20674056172,-6.6169510804,105605
164,5.15701969403,23.3732279168,90826
165,0.461345353567,21.2811167391,27741
166,-22.5821514267,21.5784242978,95712
167,-5.76755385048,6.16564357831,162818
168,23.3949401679,19.0486841728,6151
169,0.614378949753,24.3178611904,46394
170,26.2298812937,-17.6741955406,4066
171,14.9213476253,-24.8521184193,37149
172,18.5520798432,13.6216418418,169509
173,-8.87479064494,-17.1625724162,104501
174,14.5044040631,-11.4224769815,62382
